50 16.66666667 3.16228E-05 3 2 0.666666666 1.224744872 0.666666666 1.224744872 983.3333333 user1
20 10 0 2 1 0.5 1 0.5 1 650 user1
10 10 0 1 1 1 0 1 0 650 user1
130 32.5 0 4 2 0.5 0.816496581 0.5 0.816496581 2225 user1
100 100 0 1 1 1 0 1 0 6000 user2
0 0 0 0 0 0 0 1 0 5900 user2
300 100 0 3 1 0.333333333 1 0.333333333 1 6950 user2
400 133.3333333 2.23607E-05 3 2 0.666666666 1.000000001 0.666666666 1.000000001 6950 user2
600 300 0 2 3 1.5 1.732050808 0.5 1 6950 user3
600 600 0 1 3 3 0 1 0 12450 user3
